varname,printname,mpi-mainz-uvviz,long-name,
RI13NO3,RI13NO3,,,
RI16NO3,RI16NO3,,,
HOC2H4NO3,HOC2H4NO3,,,
RN9NO3,RN9NO3,,,
RN12NO3,RN12NO3,,,
RN15NO3,RN15NO3,,,
RN18NO3,RN18NO3,,,
RN21NO3,RN21NO3,,,
RN24NO3,RN24NO3,,,
RN27NO3,RN27NO3,,,
RN30NO3,RN30NO3,,,
RI12NO3,RI12NO3,,,
RI15NO3,RI15NO3,,,
RI24NO3,RI24NO3,,,
RE2NO3,RE2NO3,,,
RE5NO3,RE5NO3,,,
RT28NO3,RT28NO3,,,
C2H5OOH,C2H5OOH,,,
RN10OOH,RN10OOH,,,
RN13OOH,RN13OOH,,,
RN16OOH,RN16OOH,,,
RN19OOH,RN19OOH,,,
RN22OOH,RN22OOH,,,
RN25OOH,RN25OOH,,,
RN28OOH,RN28OOH,,,
RN31OOH,RN31OOH,,,
RN34OOH,RN34OOH,,,
RN37OOH,RN37OOH,,,
RI13OOH,RI13OOH,,,
RI16OOH,RI16OOH,,,
CH3CO3H,CH3CO3H,,,
RN8OOH,RN8OOH,,,
RN11OOH,RN11OOH,,,
RN14OOH,RN14OOH,,,
RN17OOH,RN17OOH,,,
HOC2H4OOH,HOC2H4OOH,,,
RN9OOH,RN9OOH,,,
RN12OOH,RN12OOH,,,
RN15OOH,RN15OOH,,,
RN18OOH,RN18OOH,,,
RN21OOH,RN21OOH,,,
RN24OOH,RN24OOH,,,
RN27OOH,RN27OOH,,,
RN30OOH,RN30OOH,,,
RI12OOH,RI12OOH,,,
RI15OOH,RI15OOH,,,
RI24OOH,RI24OOH,,,
RE2OOH,RE2OOH,,,
RE5OOH,RE5OOH,,,
RT28OOH,RT28OOH,,,
NRN6OOH,NRN6OOH,,,
NRN9OOH,NRN9OOH,,,
NRN12OOH,NRN12OOH,,,
NRN15OOH,NRN15OOH,,,
NRN18OOH,NRN18OOH,,,
NRI12OOH,NRI12OOH,,,
NRI15OOH,NRI15OOH,,,
NRN11OOH,NRN11OOH,,,
NRN14OOH,NRN14OOH,,,
NRT28OOH,NRT28OOH,,,
APINENE,APINENE,,,
BPINENE,BPINENE,,,
O2,O_2,O2,Oxygen,
N2,N_2,N2,Nitrogen,
CN,CN,,,
NCO,NCO,,,
HCN,HCN,HCN,Hydrogen Cyanide,
MeCN,CH_3CN,CH3CN,Methyl Cyanide,
Ar+,Ar^+,,,
O2+,O_2^+,,,
N2+,N_2^+,,,
CO2+,CO_2^+,,,
H3O+,H_3O^+,,,
CO+,CO^+,,,
N+,N^+,,,
NO+,NO^+,,,
O+,O^+,,,
H3O+OH,H_3O^+OH,,,
CO2+CO2,CO_2^+CO_2,,,
O2+O2,O_2^+O_2,,,
H3O+H2O,H_3O^+(H_2O),,,
H3O+H2OH2O,H_3O^+(H_2O)_2,,,
H3O+3H2O,H_3O^+(H_2O)_3,,,
H3O+4H2O,H_3O^+(H_2O)_4,,,
O2+CO2,O_2^+(CO_2),,,
O2+CO2CO2,O_2^+(CO_2)_2,,,
O2+H2O,O_2^+(H_2O),,,
O2+H2OH2O,O_2^+(H_2O)_2,,,
e-,e^-,,,
O-,O^-,,,
O2-,O_2^-,,,
O3-,O_3^-,,,
O4-,O_4^-,,,
OH-,OH^-,,,
O2-H2O,O_2^-(H2O),,,
CO3-,CO_3^-,,,
CO4-,CO_4^-,,,
CO3-H2O,CO_3^-(H2O),,,
CO3-H2OH2O,CO_3^-(H2O)_2,,,
NO2-,NO_2^-,,,
NO3-,NO_3^-,,,
NO2-H2O,NO_2^-(H2O),,,
NO2-H2OH2O,NO_2^-(H2O)_2,,,
NO3-H2O,NO_3^-(H2O),,,
NO3-H2OH2O,NO_3^-(H2O)_2,,,
Cl-,Cl^-,,,
IO,IO,IO,iodine monoxide,14696-98-1
I2,I_2,I2,Iodine,7553-56-2
I,I,,,
HOI,HOI,HOI,Hypoiodous Acid,14332-21-9
INO,INO,INO,Nitrosyl Iodide,58585-94-7
IONO,IONO,INO2,Nitryl Iodide,15465-40-4
ICl,ICl,ICl,Iodine Monochloride,7790-99-0
IONO2,IONO_2,IONO2,Iodine Nitrate,14696-81-5
OIO,OIO,OIO,Iodine Dioxide,13494-92-3
MeBr,CH_3Br,CH3Br,Methyl Bromide,74-83-9
HCO2H,HCO2H,HC(O)OH,Formic Acid,64-18-6
EtOH,EtOH,C2H5OH,Ethanol,64-17-5
EtOOH,EtOOH,,,
MeCHO,MeCHO,CH3CHO,Acetaldehyde,75-07-0
MeCO2H,MeCO_2H,CH3C(O)OH,Acetic Acid,64-19-7
MeCO3,MeCO_3,,,
MeCO3H,MeCO_3H,CH3C(O)OOH,Peracetic Acid,79-21-0
NC3H7OO,NC_3H_7OO,,,
IC3H7OO,IC_3H_7OO,,,
NC3H7OOH,NC_3H_7OOH,,,
IC3H7OOH,IC_3H_7OOH,,,
EtCHO,EtCHO,,,
EtCO3,EtCO_3,,,
PPAN,PPAN,,,
PERPROACID,PERPROACID,,,
Me2CO,Me_2CO,,,
MeCOCH2OO,MeCOCH_2OO,,,
HYPERACET,HYPERACET,,,
MGLYOX,MGLYOX,,,
HOCH2CH2OO,HOCH_2CH_2OO,,,
GLYOX,GLYOX,,,
HYETHO2H,HYETHO_2H,,,
HOCH2CHO,HOCH_2CHO,,,
HOCH2CO3,HOCH_2CO_3,,,
HOCH2CO2H,HOCH_2CO_2H,,,
HOCH2CO3H,HOCH_2CO_3H,,,
CH2OO,CH_2OO,,,
PHAN,PHAN,,,
ETHENO3O2,ETHENO_3O_2,,,
ETHO2HNO3,ETHO_2HNO_3,,,
NO3CH2CHO,NO_3CH_2CHO,,,
NO3CH2CO3,NO_3CH_2CO_3,,,
NO3CH2PAN,NO_3CH_2PAN,,,
NO3CH2CO3H,NO_3CH_2CO_3H,,,
NO3CH2CO2H,NO_3CH_2CO_2H,,,
GLYPAN1,GLYPAN1,,,
HCOCO3,HCOCO_3,,,
HYPROPOO,HYPROPOO,,,
HYPROPOOH,HYPROPOOH,,,
ACETOL,ACETOL,,,
MeCHOO,MeCHOO,,,
PRONO3AOO,PRONO_3AOO,,,
PRONO3BOO,PRONO_3BOO,,,
PRONO3AOOH,PRONO_3AOOH,,,
PRONO3BOOH,PRONO_3BOOH,,,
CHOPRNO3,CHOPRNO_3,,,
PRNO3CO3,PRNO_3CO_3,,,
PRNO3PAN,PRNO_3PAN,,,
PRNO3CO3H,PRNO_3CO_3H,,,
