is_integrated,varname,printname,mpi-mainz-uvviz,long-name,CASRN
1,INO,INO,INO,nitrosyl iodide,58585-94-7
1,IONO,IONO,INO2,nitryl iodide,
1,ICl,ICl,ICl,Iodine Monochloride,7790-99-0
1,IONO2,IONO_2,IONO2,Iodine Nitrate,14696-81-5
1,OIO,OIO,OIO,Iodine Dioxide,13494-92-3
1,MeBr,CH_3Br,CH3Br,bromomethane,74-83-9
1,HCO2H,HCO2H,HC(O)OH,Formic Acid,64-18-6
1,NC3H7OO,NC_3H_7OO,n-C3H7O2,1-propylperoxy radical,
1,IC3H7OO,IC_3H_7OO,"i-C3H7O2,(CH3)2CHO2",isopropylperoxy radical,4399-86-4
1,NC3H7OOH,NC_3H_7OOH,,,
1,EtCO3,EtCO_3,,Lactic Acid ???,50-21-5
1,PPAN,PPAN,,,
1,PERPROACID,PERPROACID,,,
1,MeCOCH2OO,MeCOCH_2OO,,Ethylene Carbonate,96-49-1
1,HYPERACET,HYPERACET,,,
1,MGLYOX,MGLYOX,CH3COCOH,methylglyoxal,78-98-8
1,GLYOX,GLYOX,CHOCHO,Glyoxal,107-22-2
1,HYETHO2H,HYETHO_2H,,,
1,HOCH2CHO,HOCH_2CHO,HOCH2CHO,hydroxyacetaldehyde,141-46-8
1,HOCH2CO3,HOCH_2CO_3,,,
1,HOCH2CO2H,HOCH_2CO_2H,,,
1,HOCH2CO3H,HOCH_2CO_3H,,,
1,PHAN,PHAN,,,
1,ETHENO3O2,ETHENO_3O_2,,,
1,ETHO2HNO3,ETHO_2HNO_3,,,
1,NO3CH2CHO,NO_3CH_2CHO,,,
1,NO3CH2CO3,NO_3CH_2CO_3,,,
1,NO3CH2PAN,NO_3CH_2PAN,,,
1,NO3CH2CO3H,NO_3CH_2CO_3H,,,
1,NO3CH2CO2H,NO_3CH_2CO_2H,,,
1,GLYPAN1,GLYPAN1,,,
1,HCOCO3,HCOCO_3,,,
1,HYPROPOO,HYPROPOO,,,
1,HYPROPOOH,HYPROPOOH,,,
1,ACETOL,ACETOL,,,
1,MeCHOO,MeCHOO,CH3C(O)OH,acetic acid,64-19-7
1,PRONO3AOO,PRONO_3AOO,,,
1,PRONO3BOO,PRONO_3BOO,,,
1,PRONO3AOOH,PRONO_3AOOH,,,
1,PRONO3BOOH,PRONO_3BOOH,,,
1,CHOPRNO3,CHOPRNO_3,,,
1,PRNO3CO3,PRNO_3CO_3,,,
1,PRNO3PAN,PRNO_3PAN,,,
1,PRNO3CO3H,PRNO_3CO_3H,,,
1,NOA,NOA,CH3C(O)CH2(ONO2),nitrooxy-acetone,6745-71-7
1,DMS,CH_3SCH_3,CH3SCH3,,
1,DMSO,CH_3SOCH_3,CH3SOCH3,Dimethyl Sulfoxide,67-68-5
1,MeSCH2OO,CH_3SCH_2OO,,,
1,MeS,CH_3S,,Methylthio radical,7175-75-9
1,MeSOO,CH_3SOO,,methanesulfonyl,4853-80-9
1,MeSOOO,CH_3SOOO,,Mesyloxy,
1,MeSO2OO,MeSO_2OO,,Methyl sulfate,21228-90-0
1,MeSCH2OOH,CH_3SCH_2OOH,,Dimethyl Sulfone,67-71-0
1,MeSO,CH_3SO,,Methylsulfinylium,
1,MeSO3,CH_3SO_3,,Mesyloxy,
1,MSA,MSA,,Methylsulfonic acid,75-75-2
1,MeSO2,CH_3SO_2,,Methanesulfonyl,4853-80-9
1,MeSO2CH2O2,MeSO_2CH_2O_2,,,
1,MeSO2CH2HP,MeSO_2CH_2HP,,,
1,IBr,IBr,IBr,iodine monobromide,7789-33-5
1,SC4H9OO,SC_4H_9OO,,,
1,SC4H9OOH,SC_4H_9OOH,,,
1,IC4H9OO,IC_4H_9OO,,,
1,TC4H9OO,TC_4H_9OO,,,
1,IC4H9OOH,IC_4H_9OOH,,,
1,TC4H9OOH,TC_4H_9OOH,,,
1,IPRCO3,IPRCO_3,,,
1,PERIBUACID,PERIBUACID,,,
1,IBUTACID,IBUTACID,,,
1,IPRPAN,IPRPAN,,,
1,PEBOO,PEBOO,,,
1,PECOO,PECOO,,,
1,PEBOOH,PEBOOH,,,
1,PECOOH,PECOOH,,,
1,IPEBOO,IPEBOO,,,
1,IPECOO,IPECOO,,,
1,IPEBOOH,IPEBOOH,,,
1,IPECOOH,IPECOOH,,,
1,NBUTOLAOO,NBUTOLAOO,,,
1,NBUTOLAOOH,NBUTOLAOOH,,,
1,NO3BU1EOO,NO3BU1EOO,,,
1,NO3BU1EOOH,NO3BU1EOOH,,,
1,OOBU1ENO3,OOBU1ENO_3,,,
1,HOOBU1ENO3,HOOBU1ENO3,,,
1,CO3C4NO3,CO3C4NO3,,,
1,BUTAL2NO3,BUTAL2NO3,,,
1,BUT2OLOO,BUT2OLOO,,,
1,BUT2OLOOH,BUT2OLOOH,,,
1,C42NO33OO,C42NO33OO,,,
1,C42NO33OOH,C42NO33OOH,,,
1,IBUTOLBOO,IBUTOLBOO,,,
1,IBUTOLBOOH,IBUTOLBOOH,,,
1,MPRANO3OO,MPRANO3OO,,,
1,MPRANO3OOH,MPRANO3OOH,,,
1,PE1ENEAOO,PE1ENEAOO,,,
