idx,Source,Reactants,,Products,,,,Product Stoich,,,,a1,a2,a3,a4,a5,contains_OH,contains_HONO2,contains_CO,all_reactants_HO2
R242,XX,e,H2O ,OH-,H,,,1,1,,,1.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R247,H4,e,N2O,N2O+,e,,,1,2,,,3.30E-14,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R248,MP,e,O3,O-,O2,,,1,1,,,9.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R249,ZN,e,O,O-,,,,1,,,,1.30E-15,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R250,VE,e,O2,O2-,,,,1,,,,1.00E-20,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R251,MP,O4-,O,O3-,O2,,,1,1,,,4.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R252,MP,O4-,O,O-,O2,,,1,2,,,3.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R253,MP,O4-,O2,O2-,O2,,,1,2,,,2.00E-14,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R254,MP,O4-,CO2,CO4-,O2,,,1,1,,,4.30E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R255,MP,O4-,NO,OONO-,O2,,,1,1,,,2.50E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R256,MP,OONO-,NO,NO2-,NO2,,,1,1,,,1.50E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R257,MP,CO4-,O2,O4-,CO2,,,1,1,,,1.02E-11,-0.1,0,0,-2433,FALSE,FALSE,FALSE,FALSE
R258,MP,CO4-,O3,O3-,O2,CO2,,1,1,1,,1.30E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R259,MP,CO4-,O,CO3-,O2,,,1,1,,,1.50E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R260,MP,CO4-,NO,OONO-,CO2,,,1,1,,,4.80E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R261,MP,CO3-,O,e,CO2,O2,,1,1,1,,2.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R262,ZN,CO3-,O,O2-,CO2,,,1,1,,,1.10E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R263,MP,CO3-,NO,NO2-,CO2,,,1,1,,,9.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R264,ZN,O3-,O,O2-,O2,,,1,1,,,3.20E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R265,MP,O3-,NO,NO2-,O2,,,1,1,,,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R266,MP,O3-,NO2,O2,O2-,NO,,1,1,1,,2.80E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R267,ZN,O3-,CO2,O2,CO3-,,,1,1,,,5.50E-10,-0.5,0,0,0,FALSE,FALSE,FALSE,FALSE
R268,MP,O2-,H,O-,OH,,,1,1,,,5.00E-10,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R269,MP,O2-,H,O,OH-,,,1,1,,,5.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R270,MP,O2-,H,H-,O2,,,1,1,,,5.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R271,MP,O2-,H2,OH-,OH,,,1,1,,,1.00E-12,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R272,ZN,O2-,O3,O3-,O2,,,1,1,,,4.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R273,MP,O2-,NO2,NO2-,O2,,,1,1,,,8.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
